Author,Quote,URL
Аллен Джонс,Даже самые важные решения начинаются с маленьких идей. ,http://forismatic.com/ru/1445fc6f5e/
Брэд Дженсен,"Примите решение. Определитесь. Перестаньте вести ненужные разговоры и беспокоиться о том, чем обернется выбор. Перестаньте гадать, существует ли более благоприятная возможность. Начните с того, что вы имеете в своих руках. Начните сию же секунду.",http://forismatic.com/ru/104071787f/
Дхаммапада,"Тронутые счастьем или же горем, мудрецы не показывают ни того, ни другого.",http://forismatic.com/ru/da39630cae/
Мао Цзэдун,"Человек, который почувствовал ветер перемен, должен строить не щит от ветра, а ветряную мельницу. ",http://forismatic.com/ru/5a6d296a7f/
учение Дзэн,"Каждый человек — художник своей жизни, просто в одних людях он спит, а в других — проснулся и действует, и у каждого она своя. Ключ — в душе человека.",http://forismatic.com/ru/04acb0cbbe/
